Date,Open,High,Low,Close,Volume
1972-06-01,46.750004,47.375004,46.750004,47.125005,82800
1972-06-02,47.000003,47.000003,46.500005,46.625007,119600
1972-06-05,46.375003,46.375003,45.625005,45.750007,107600
1972-06-06,45.750007,46.000006,45.250004,45.500003,327200
1972-06-07,45.375006,45.375006,45.125007,45.125007,42400
1972-06-08,45.125007,45.375006,45.125007,45.125007,86400
1972-06-09,45.125007,45.125007,44.750006,44.750006,497600
1972-06-12,44.750006,44.875003,44.250003,44.250003,108400
1972-06-13,44.250003,45.000005,43.750005,45.000005,103200
1972-06-14,45.000005,45.250004,44.750006,45.250004,34000
1972-06-15,45.500003,45.750007,45.500003,45.750007,61600
1972-06-16,46.000006,46.750004,46.000006,46.625007,50400
1972-06-19,46.375003,46.375003,46.250006,46.250006,46800
1972-06-20,46.250006,47.000003,46.000006,46.750004,190800
1972-06-21,47.250007,48.000004,47.250007,47.375004,136400
1972-06-22,47.375004,47.375004,47.375004,47.375004,53200
1972-06-23,47.375004,47.750005,47.375004,47.375004,94800
1972-06-26,47.375004,47.375004,46.125004,46.125004,700400
1972-06-27,46.250006,46.875006,46.250006,46.375003,349200
1972-06-28,46.125004,46.125004,45.625005,45.625005,83600
1972-06-29,45.625005,45.750007,44.750006,45.000005,104800
1972-06-30,45.000005,45.625005,44.750006,45.375006,108400
1972-07-03,45.375006,45.625005,45.250004,45.500003,46800
1972-07-05,45.500003,46.000006,45.500003,45.625005,42400
1972-07-06,46.000006,46.750004,46.000006,46.625007,140800
1972-07-07,46.375003,46.375003,45.500003,45.875004,133600
1972-07-10,45.875004,46.000006,45.500003,45.875004,83600
1972-07-11,45.500003,45.500003,45.125007,45.125007,20000
1972-07-12,45.125007,45.750007,44.875003,45.750007,46800
1972-07-13,45.500003,45.500003,45.000005,45.000005,514400
1972-07-14,45.000005,45.500003,45.000005,45.500003,49600
1972-07-17,45.500003,45.750007,45.375006,45.375006,138000
1972-07-18,45.375006,45.375006,45.000005,45.000005,132400
1972-07-19,45.000005,45.750007,45.000005,45.750007,99200
1972-07-20,45.625005,45.625005,45.125007,45.125007,91200
1972-07-21,45.000005,45.000005,44.750006,45.000005,61600
1972-07-24,45.250004,45.875004,45.250004,45.500003,368400
1972-07-25,45.500003,45.750007,45.000005,45.000005,399200
1972-07-26,45.125007,45.625005,45.125007,45.125007,162800
1972-07-27,45.125007,45.250004,44.125006,44.625004,212800
1972-07-28,44.250003,44.250003,43.500006,43.500006,162800
1972-07-31,43.250007,43.250007,42.375002,42.625006,182400
1972-08-01,42.125003,42.125003,41.000005,42.125003,368400
1972-08-02,42.250005,43.125005,42.250005,43.125005,204400
1972-08-03,43.375004,43.875007,43.375004,43.500006,116000
1972-08-04,43.250007,43.250007,42.625006,43.000002,88400
1972-08-07,43.250007,43.875007,43.250007,43.375004,86400
1972-08-08,43.375004,43.750005,43.125005,43.750005,182400
1972-08-09,43.750005,43.750005,43.000002,43.250007,141600
1972-08-10,43.250007,43.625003,42.125003,42.125003,78000
1972-08-11,42.125003,42.500004,41.500003,42.500004,356800
1972-08-14,42.500004,42.875005,42.250005,42.875005,138000
1972-08-15,42.875005,43.125005,42.625006,42.625006,1568000
1972-08-16,42.625006,42.875005,42.500004,42.625006,121600
1972-08-17,42.625006,42.875005,42.000006,42.000006,49600
1972-08-18,42.000006,42.875005,41.750002,42.750003,179600
1972-08-21,42.750003,43.625003,42.750003,43.250007,270800
1972-08-22,43.250007,43.750005,43.250007,43.750005,74400
1972-08-23,43.750005,44.250003,43.500006,44.250003,121600
1972-08-24,44.250003,45.000005,44.125006,44.750006,207200
1972-08-25,44.750006,45.000005,44.625004,44.625004,78000
1972-08-28,44.625004,44.875003,44.625004,44.625004,74400
1972-08-29,44.625004,45.250004,44.625004,45.000005,262400
1972-08-30,45.000005,45.500003,45.000005,45.000005,207200
1972-08-31,45.000005,45.250004,44.875003,45.000005,265200
1972-09-01,45.000005,45.000005,44.750006,45.000005,66000
1972-09-05,45.000005,45.250004,45.000005,45.000005,104800
1972-09-06,45.000005,45.375006,45.000005,45.000005,254400
1972-09-07,45.000005,45.375006,45.000005,45.125007,67200
1972-09-08,45.125007,45.500003,45.000005,45.250004,352000
1972-09-11,45.250004,45.375006,45.125007,45.125007,58000
1972-09-12,45.125007,45.250004,44.875003,45.000005,149200
1972-09-13,45.000005,45.000005,44.500007,44.500007,328800
1972-09-14,44.500007,44.750006,44.375005,44.500007,111200
1972-09-15,44.500007,44.625004,44.375005,44.625004,34000
