Date,Open,High,Low,Close,Volume
1972-06-01,20.75,21.125,20.75,20.875,42000
1972-06-02,20.875,21.125,20.75,21.00,17600
1972-06-05,21.00,21.25,20.875,20.875,13200
1972-06-06,20.75,20.75,20.50,20.625,15700
1972-06-07,20.625,20.75,20.625,20.625,5000
1972-06-08,20.625,20.875,20.375,20.375,32900
1972-06-09,20.375,20.50,20.25,20.25,18500
1972-06-12,20.25,20.625,20.25,20.50,10600
1972-06-13,20.50,20.50,20.00,20.25,38400
1972-06-14,20.125,20.125,19.75,19.75,126800
1972-06-15,19.75,19.875,19.75,19.875,14100
1972-06-16,19.875,19.875,19.625,19.875,9000
1972-06-19,19.875,20.00,19.75,19.875,8500
1972-06-20,19.875,19.875,19.625,19.625,40600
1972-06-21,19.625,19.875,19.375,19.375,57000
1972-06-22,19.375,19.625,19.375,19.625,23700
1972-06-23,19.625,19.625,19.375,19.625,53000
1972-06-26,19.625,19.75,19.375,19.50,14400
1972-06-27,19.50,19.50,19.375,19.50,14200
1972-06-28,19.50,19.875,19.375,19.875,21000
1972-06-29,19.875,20.00,19.625,19.875,13300
1972-06-30,19.875,20.375,19.875,20.25,47100
1972-07-03,20.25,20.50,20.00,20.25,7300
1972-07-05,20.50,21.00,20.50,20.875,22400
1972-07-06,20.875,21.375,20.875,21.375,15300
1972-07-07,21.375,21.625,21.25,21.625,23900
1972-07-10,21.625,21.875,21.375,21.75,25600
1972-07-11,21.50,21.50,21.125,21.125,14400
1972-07-12,21.125,21.625,21.125,21.375,4800
1972-07-13,21.375,21.625,21.125,21.125,6000
1972-07-14,21.125,21.50,21.00,21.25,10600
1972-07-17,21.25,21.375,21.00,21.125,12300
1972-07-18,20.875,20.875,20.625,20.625,4400
1972-07-19,20.625,20.75,20.50,20.50,9300
1972-07-20,20.50,20.75,20.50,20.625,7500
1972-07-21,20.625,20.875,20.50,20.875,5500
1972-07-24,20.875,21.00,20.625,20.875,12600
1972-07-25,20.875,21.125,20.50,20.75,67600
1972-07-26,20.75,21.00,20.625,20.625,13800
1972-07-27,20.625,20.75,20.375,20.375,9900
1972-07-28,20.625,20.75,20.625,20.625,14300
1972-07-31,20.625,20.625,20.25,20.375,2800
1972-08-01,20.375,20.375,20.25,20.375,9000
1972-08-02,20.375,20.75,20.25,20.25,32100
1972-08-03,20.25,20.375,20.00,20.00,10700
1972-08-04,20.00,20.125,20.00,20.00,10500
1972-08-07,20.00,20.125,19.625,19.625,87100
1972-08-08,19.625,19.75,19.50,19.75,40600
1972-08-09,19.75,19.875,19.50,19.625,17100
1972-08-10,19.625,19.75,19.375,19.625,17200
1972-08-11,19.625,19.875,19.625,19.75,19600
1972-08-14,19.75,19.875,19.625,19.875,11200
1972-08-15,19.875,20.00,19.875,19.875,25100
1972-08-16,19.875,20.00,19.875,20.00,37800
1972-08-17,20.00,20.25,20.00,20.125,17500
1972-08-18,20.125,20.875,20.125,20.75,51800
1972-08-21,21.00,21.375,21.00,21.25,12800
1972-08-22,21.375,21.875,21.375,21.625,40400
1972-08-23,21.75,22.00,21.75,21.75,17600
1972-08-24,21.875,22.75,21.875,22.50,64400
1972-08-25,22.50,22.75,22.25,22.375,18500
1972-08-28,22.375,22.625,22.25,22.50,28300
1972-08-29,22.50,22.50,22.375,22.50,7700
1972-08-30,22.625,22.875,22.625,22.75,19500
1972-08-31,22.75,22.75,22.375,22.375,12100
1972-09-01,22.375,22.50,22.125,22.375,6600
1972-09-05,22.375,22.375,22.00,22.00,19800
1972-09-06,22.00,22.375,22.00,22.125,8200
1972-09-07,22.125,22.125,22.00,22.00,12700
1972-09-08,22.00,22.00,21.75,22.00,9400
1972-09-11,22.00,22.00,21.50,21.50,19600
1972-09-12,21.50,22.00,21.50,21.875,15900
1972-09-13,21.875,22.125,21.875,22.00,32500
1972-09-14,22.00,22.25,22.00,22.125,3600
1972-09-15,22.125,22.25,22.00,22.25,6400
1972-09-18,22.25,22.25,22.125,22.125,13000
1972-09-19,22.125,22.25,21.875,21.875,8100
1972-09-20,21.875,22.125,21.875,22.00,2400
1972-09-21,22.00,22.125,21.625,21.625,8600
1972-09-22,21.625,21.875,21.50,21.50,10200
1972-09-25,21.50,21.625,21.375,21.50,11800
1972-09-26,21.50,21.625,21.25,21.375,122300
1972-09-27,21.375,22.00,21.375,21.875,9600
1972-09-28,21.875,22.125,21.875,22.00,8700
1972-09-29,22.125,22.50,22.125,22.125,22700
1972-10-02,22.125,22.25,21.875,21.875,6700
1972-10-03,22.00,22.25,22.00,22.00,17800
1972-10-04,22.125,22.375,22.125,22.375,25800
1972-10-05,22.375,22.50,22.125,22.125,15500
1972-10-06,22.125,22.625,22.125,22.50,22300
1972-10-09,22.625,22.875,22.625,22.75,6900
1972-10-10,22.75,22.875,22.625,22.75,5400
1972-10-11,22.75,22.75,22.625,22.625,2900
1972-10-12,22.625,22.875,22.50,22.75,11900
1972-10-13,22.75,22.75,22.50,22.625,10200
1972-10-16,22.625,23.00,22.50,22.75,60700
1972-10-17,22.75,23.00,22.75,22.75,32600
1972-10-18,22.875,23.125,22.875,23.00,27800
1972-10-19,23.00,23.375,23.00,23.25,11400
1972-10-20,23.25,23.375,23.25,23.25,6000
1972-10-23,23.375,23.75,23.375,23.75,10300
1972-10-24,23.75,23.75,23.50,23.75,11200
1972-10-25,23.75,23.875,23.625,23.625,11800
1972-10-26,23.625,24.375,23.50,24.00,37200
1972-10-27,24.00,24.75,24.00,24.75,17700
1972-10-30,24.75,24.75,24.50,24.75,17300
1972-10-31,24.75,25.125,24.625,25.125,35000
1972-11-01,25.25,25.625,25.25,25.50,27700
1972-11-02,25.50,25.625,25.125,25.125,36700
1972-11-03,25.125,26.375,25.00,26.25,44700
1972-11-06,26.375,26.625,26.375,26.375,36000
1972-11-08,26.375,26.50,26.125,26.50,17800
1972-11-09,26.50,27.00,26.50,27.00,28800
1972-11-10,27.00,27.125,26.875,27.00,31900
1972-11-13,27.00,27.125,27.00,27.00,29900
1972-11-14,27.00,27.00,26.75,26.875,8000
1972-11-15,26.875,27.25,26.875,26.875,28500
1972-11-16,26.875,27.25,26.75,26.75,10800
1972-11-17,26.75,27.875,26.625,27.875,12100
1972-11-20,28.00,28.50,28.00,28.125,15700
1972-11-21,28.125,28.125,27.625,27.625,19000
1972-11-22,27.625,27.875,27.50,27.875,80200
1972-11-24,28.00,28.75,28.00,28.75,26900
1972-11-27,28.50,28.50,28.00,28.00,18700
1972-11-28,28.00,28.125,27.75,27.875,25700
1972-11-29,27.875,27.875,27.375,27.375,12800
1972-11-30,27.375,27.625,27.25,27.375,10100
1972-12-01,27.50,28.125,27.50,28.00,26900
1972-12-04,28.00,28.00,27.875,27.875,12100
1972-12-05,27.875,28.00,27.625,27.625,17900
1972-12-06,27.625,27.75,27.00,27.00,6600
1972-12-07,27.00,27.00,26.625,26.875,4400
1972-12-08,26.75,26.75,26.25,26.375,9700
1972-12-11,26.375,26.375,26.00,26.00,7400
1972-12-12,26.00,26.375,25.625,26.00,8100
1972-12-13,26.00,26.50,26.00,26.50,12700
1972-12-14,26.50,26.75,26.375,26.50,11100
1972-12-15,26.50,26.875,26.375,26.625,6100
1972-12-18,26.625,26.75,26.625,26.625,26600
1972-12-19,26.625,26.875,26.625,26.625,21200
1972-12-20,26.625,26.75,26.625,26.625,3500
1972-12-21,26.75,27.00,26.75,26.75,37100
1972-12-22,26.75,27.00,26.75,27.00,9200
