,benchmark_value,cash,date,execution_loss,long_exposure,pnl,portfolio_value,positions,short_exposure
1,93404.0,100000,2016-08-12 16:28:29.877050,-5,9570,-14,64016,"{u'A': -2, u'B': 1}",-45554
2,93269.0,100000,2016-08-12 16:56:53.928320,-5,19110,-146,-17372,"{u'A': -6, u'B': 2}",-136482
3,93352.0,100000,2016-08-12 17:21:53.878010,-8,9566,-105,-72522,"{u'A': -8, u'B': 1}",-182088
4,93428.0,100000,2016-08-12 17:50:50.877230,-8,19152,0,-40266,"{u'A': -7, u'B': 2}",-159418
5,93224.0,100000,2016-08-12 18:12:45.826810,-10,19092,-132,-17390,"{u'A': -6, u'B': 2}",-136482
6,93130.0,100000,2016-08-12 19:41:21.876760,-9,0,-228,-55448,"{u'A': -6, u'B': -2}",-155448
7,93258.0,100000,2016-08-12 21:11:04.433110,-11,0,-70,-32849,"{u'A': -5, u'B': -2}",-132849
8,93275.0,100000,2016-08-12 22:38:50.234170,-10,0,-52,-42415,"{u'A': -5, u'B': -3}",-142415
9,93220.0,100000,2016-08-12 23:30:22.886640,-11,0,-139,-74610,"{u'A': -6, u'B': -4}",-174610
10,93399.0,100000,2016-08-13 23:59:39.888460,-8,0,197,-133661,"{u'A': -9, u'B': -3}",-233661
11,93317.0,100000,2016-08-13 00:35:47.487330,-8,19118,114,-85731,"{u'A': -9, u'B': 2}",-204849
12,93325.0,100000,2016-08-13 01:24:11.984980,-8,0,164,-114444,"{u'A': -9, u'B': -1}",-214444
13,93233.0,100000,2016-08-15 11:26:23.926640,-9,0,-6,-81992,"{u'A': -8, u'B': 0}",-181992
14,93838.0,100000,2016-08-15 11:45:39.005220,-5,9624,695,18188,"{u'A': -4, u'B': 1}",-91436
15,93849.0,100000,2016-08-15 12:03:59.553270,-15,9629,648,-4631,"{u'A': -5, u'B': 1}",-114260
16,93980.0,100000,2016-08-15 12:24:07.001580,-16,19296,759,4946,"{u'A': -5, u'B': 2}",-114350
17,93934.0,100000,2016-08-15 12:44:48.845920,-14,0,705,-14310,"{u'A': -5, u'B': 0}",-114310
18,94083.0,100000,2016-08-15 13:08:37.950880,-13,28989,809,37453,"{u'A': -4, u'B': 3}",-91536
19,94267.0,100000,2016-08-15 13:31:58.940160,-13,48425,728,125504,"{u'A': -1, u'B': 5}",-22921
20,94341.0,100000,2016-08-15 13:59:52.192880,-14,48475,732,56743,"{u'A': -4, u'B': 5}",-91732
21,94573.0,100000,2016-08-15 15:20:35.596010,-15,19458,741,4638,"{u'A': -5, u'B': 2}",-114820
22,94546.0,100000,2016-08-15 15:44:11.994390,-16,0,661,-24470,"{u'A': -5, u'B': -1}",-124470
23,94469.0,100000,2016-08-15 16:06:10.392140,-15,0,661,-80059,"{u'A': -7, u'B': -2}",-180059
24,94464.0,100000,2016-08-15 16:36:45.938710,-14,0,701,-103004,"{u'A': -8, u'B': -2}",-203004
25,94457.0,100000,2016-08-15 17:06:28.993440,-11,0,765,-103030,"{u'A': -8, u'B': -2}",-203030
26,94424.0,100000,2016-08-15 17:36:47.995590,-10,0,600,-145236,"{u'A': -9, u'B': -4}",-245236
27,94392.0,100000,2016-08-15 18:03:52.996460,-11,0,593,-109047,"{u'A': -7, u'B': -5}",-209047
28,94345.0,100000,2016-08-15 19:24:09.444500,-8,0,479,-131835,"{u'A': -8, u'B': -5}",-231835
29,94413.0,100000,2016-08-15 21:27:08.939780,-8,0,655,-220155,"{u'A': -11, u'B': -7}",-320155
30,94532.0,100000,2016-08-15 22:58:18.941410,-9,0,1061,-256719,"{u'A': -13, u'B': -6}",-356719
31,94758.0,100000,2016-08-15 23:45:48.140440,-11,0,1798,-201749,"{u'A': -11, u'B': -5}",-301749
32,94794.0,100000,2016-08-16 00:23:56.990270,-11,0,1858,-178810,"{u'A': -10, u'B': -5}",-278810
33,94859.0,100000,2016-08-16 01:04:28.391230,-12,0,2031,-155978,"{u'A': -9, u'B': -5}",-255978
34,94623.0,100000,2016-08-16 11:16:38.718110,-11,0,1363,-201299,"{u'A': -11, u'B': -5}",-301299
35,95027.0,100000,2016-08-16 11:39:04.571010,-19,0,2584,-271459,"{u'A': -14, u'B': -5}",-371459
36,94310.0,100000,2016-08-16 12:03:13.335700,-17,0,257,-200230,"{u'A': -11, u'B': -5}",-300230
37,94562.0,100000,2016-08-16 12:25:43.519250,-14,0,913,-266130,"{u'A': -13, u'B': -7}",-366130
38,94571.0,100000,2016-08-16 12:50:23.916960,-16,0,891,-141826,"{u'A': -8, u'B': -6}",-241826
39,94396.0,100000,2016-08-16 13:17:48.365400,-14,0,580,-135203,"{u'A': -9, u'B': -3}",-235203
40,94285.0,100000,2016-08-16 13:45:35.515490,-15,0,431,-161385,"{u'A': -11, u'B': -1}",-261385
41,94560.0,100000,2016-08-16 15:14:36.927670,-12,0,1174,-198220,"{u'A': -13, u'B': 0}",-298220
42,94590.0,100000,2016-08-16 15:42:39.429590,-9,0,1290,-185138,"{u'A': -12, u'B': -1}",-285138
